title,author,tokens,sentences,ttr,sentiment,JJ,JJR,JJS,VBD,MD,RB,RBR,RBS
A Journey from This World to the Next,Fielding Henry,46105,1198,0.33166666666666667,0.17971803005008327,2969,141,141,3551,564,2825,81,80
Can You Forgive Her?,Trollope Anthony,316533,19553,0.36433333333333334,0.08050152917710832,14850,802,460,21913,8549,21352,437,142
The Inflexible Captive: A Tragedy in Five Acts,More Hannah,15036,1235,0.38266666666666665,0.09546469635627516,1102,30,53,263,339,701,32,9
The History of Pendennis,Thackeray William Makepeace,351936,12876,0.392,0.18989094439266876,23612,733,864,23999,4631,16199,438,360
Why Frau Frohmann Raised Her Prices and Other Stories,Trollope Anthony,108547,5305,0.3556666666666667,0.10680229971724785,6119,340,179,7846,2956,7567,201,58
Their Mariposa Legend: A Romance of Santa Catalina,Herr Charlotte B. (Charlotte Bronte),19614,1026,0.38366666666666666,0.09647446393762184,1341,58,60,1475,270,1604,39,13
North America — Volume 1,Trollope Anthony,144410,6191,0.33,0.11105430463576144,9213,451,275,4098,3235,8022,258,85
Nina Balatka,Trollope Anthony,78954,4799,0.366,0.08498393415294883,3777,218,125,4984,2522,5312,99,14
The Wise Mamma Goose,Herr Charlotte B. (Charlotte Bronte),1864,92,0.164,0.050052173913043466,142,8,5,206,24,178,5,1
The Warden,Trollope Anthony,74392,2844,0.32766666666666666,0.1373375879043604,4576,168,177,4406,1609,4508,110,51
Index of the Project Gutenberg Works of Henry Fielding,Fielding Henry,7289,857,0.31733333333333336,0.055984364060676764,398,21,7,83,59,141,12,3
Thackeray,Trollope Anthony,66847,3090,0.3433333333333333,0.15122064724919107,4353,153,130,2604,1209,3716,131,54
Mr. Scarboroughs Family,Trollope Anthony,211922,13969,0.26866666666666666,0.05231926408475902,9966,526,471,13657,6171,13671,261,135
The Macdermots of Ballycloran,Trollope Anthony,171618,6705,0.37333333333333335,0.03125512304250576,8754,451,242,11052,3355,10876,227,94
The Prime Minister,Trollope Anthony,283606,17497,0.37833333333333335,0.08582214665371092,13959,711,482,17596,8027,19065,399,108
The Man Who Kept His Money in a Box,Trollope Anthony,14635,670,0.308,0.10463462686567161,790,27,26,975,271,815,6,1
The Fixed Period,Trollope Anthony,71126,3593,0.31066666666666665,0.10796370720846105,3859,154,106,4075,2029,4039,96,36
Cousin Henry,Trollope Anthony,73794,4275,0.269,0.043627836257309906,3419,137,111,4919,2627,4732,81,17
Index of The Project Gutenberg Works of Thackeray,Thackeray William Makepeace,6054,706,0.38366666666666666,0.0405460339943343,95,8,2,31,3,38,2,0
The Last Chronicle of Barset,Trollope Anthony,343583,20845,0.3333333333333333,0.08019430558886957,16138,860,580,22660,9703,23509,423,136
Phineas Redux,Trollope Anthony,262294,15281,0.393,0.06561690988809578,13280,581,447,17017,7010,16403,377,120
The Old Debauchees. A Comedy,Fielding Henry,10479,992,0.30333333333333334,0.045113608870967666,568,34,25,191,301,602,13,4
An Eye for an Eye,Trollope Anthony,73122,4419,0.3353333333333333,0.085564064267934,3555,196,153,4484,2356,4752,109,22
The Vicar of Bullhampton,Trollope Anthony,211054,11868,0.38533333333333336,0.06351172059319124,9896,531,388,14237,6023,13569,279,104
La Vendée,Trollope Anthony,180180,7269,0.3406666666666667,0.10449056266336453,9767,395,332,12535,3872,10700,258,98
Mens Wives,Thackeray William Makepeace,64116,2221,0.356,0.18649468707789263,4105,138,159,3934,874,3176,99,60
Percy: A Tragedy,More Hannah,13744,1085,0.39366666666666666,0.04159640552995391,1029,39,37,332,257,735,22,13
Lotta Schmidt and Other Stories,Trollope Anthony,78188,3460,0.2946666666666667,0.08376205202312133,4150,178,129,5590,1848,5232,109,40
Notes on a Journey from Cornhill to Grand Cairo,Thackeray William Makepeace,66000,2150,0.38233333333333336,0.19556302325581415,5292,118,165,2899,628,2677,123,106
Orley Farm,Trollope Anthony,309444,18470,0.3373333333333333,0.09652206280454735,15882,772,509,20306,8762,21236,454,108
Barry Lyndon,Thackeray William Makepeace,127363,3777,0.382,0.13169581678580877,7731,277,329,8925,1731,5684,154,150
Emmeline the Orphan of the Castle,Smith Charlotte,209931,7799,0.368,0.07926336709834576,11468,465,411,15349,3819,13308,411,202
Returning Home,Trollope Anthony,11701,486,0.30133333333333334,0.09894485596707811,704,19,31,629,227,605,12,1
Joseph Andrews Vol. 2,Fielding Henry,72015,2242,0.3273333333333333,0.1708459857270295,4069,225,228,4694,1363,4275,135,52
The Way We Live Now,Trollope Anthony,353053,22802,0.38866666666666666,0.07785546443294411,17176,879,563,23957,9301,22637,464,135
The History of the Life of the Late Mr. Jonathan Wild the Great,Fielding Henry,71437,2068,0.35,0.22208602514506784,4600,244,231,3956,1252,4270,157,101
Frankenstein; Or The Modern Prometheus,Shelley Mary Wollstonecraft,77785,3442,0.385,0.0472763509587449,4854,152,145,5750,1295,3897,154,81
Considerations on Religion and Public Education\r\nWith remarks on the speech of M. Dupont delivered in the National Convention of France together with an address to the ladies &c. of Great Britain and Ireland,More Hannah,6268,191,0.38266666666666665,0.10889109947643984,514,11,16,83,129,343,18,12
The Fatal Falsehood: A Tragedy. In Five Acts,More Hannah,14655,1294,0.3903333333333333,0.09622619783616684,1028,30,46,336,307,849,24,6
The Belton Estate,Trollope Anthony,156884,9577,0.31266666666666665,0.08373330896940544,7519,423,219,9939,4843,10868,236,54
Mary Gresley and An Editors Tales,Trollope Anthony,79405,3532,0.31033333333333335,0.0883565402038506,4460,190,140,5891,1818,4931,90,43
Christmas at Thompson Hall,Trollope Anthony,16236,777,0.321,0.00895765765765766,859,36,30,1298,398,1133,31,9
The Landleaguers,Trollope Anthony,152430,9683,0.31533333333333335,0.046150232366002415,7161,341,272,9740,3846,9150,225,77
Doctor Birch and His Young Friends,Thackeray William Makepeace,9023,491,0.364,0.1620940936863545,631,22,26,327,126,381,15,5
Vanity Fair,Thackeray William Makepeace,299977,13203,0.415,0.1553169128228422,19897,500,773,21052,3805,14209,375,340
Miss Mackenzie,Trollope Anthony,144074,7691,0.29,0.07827610193732915,6779,348,234,10338,3579,9411,203,54
George Walker at Suez,Trollope Anthony,10984,463,0.31833333333333336,0.11213045356371491,583,19,18,645,199,543,12,4
The Wanderer; or Female Difficulties (Volume 3 of 5),Burney Fanny,67601,2936,0.39266666666666666,0.08487622615803825,4495,151,147,3505,1311,4471,128,92
The Wanderer; or Female Difficulties (Volume 5 of 5),Burney Fanny,60703,2520,0.334,0.07956250000000001,3947,126,143,3441,1044,3916,103,70
Little Travels and Roadside Sketches,Thackeray William Makepeace,14828,570,0.3953333333333333,0.20677140350877166,1264,34,44,495,163,704,24,12
Fanny Burney and Her Friends: Select Passages from Her Diary and Other Writings,Burney Fanny,102626,4025,0.36966666666666664,0.11991813664596275,6435,250,219,6801,1165,5670,211,142
The Journal of a Voyage to Lisbon,Fielding Henry,44971,1004,0.3283333333333333,0.200662250996016,3081,194,183,2091,747,2871,135,69
The Small House at Allington,Trollope Anthony,258324,15954,0.36333333333333334,0.11213182900839914,12757,732,375,16951,6716,18197,387,85
The Life of Cicero Volume One,Trollope Anthony,121136,5367,0.325,0.07888334264952508,6757,285,220,6243,2368,5873,116,65
Cecilia; Or Memoirs of an Heiress — Volume 1,Burney Fanny,106733,2525,0.37366666666666665,0.10568403960396068,6284,328,194,6911,1899,7636,242,136
Miss Sarah Jack of Spanish Town Jamaica,Trollope Anthony,12775,545,0.31233333333333335,0.12330018348623847,792,25,26,726,262,764,23,4
The Wanderer; or Female Difficulties (Volume 2 of 5),Burney Fanny,69616,2682,0.323,0.06808057419835953,4338,176,173,4071,1458,4701,140,100
He Knew He Was Right,Trollope Anthony,342115,19951,0.35333333333333333,0.07215183198837104,16795,810,653,22968,9894,22465,454,209
Ayalas Angel,Trollope Anthony,221007,14300,0.31033333333333335,0.09932410489510488,10773,559,350,14587,6448,15269,319,102
The History of Pendennis Volume 2\nHis Fortunes and Misfortunes His Friends and His Greatest Enemy,Thackeray William Makepeace,172035,7900,0.371,0.14474496202531592,11226,397,418,10925,2648,7967,234,176
Clergymen of the Church of England,Trollope Anthony,25772,848,0.30766666666666664,0.18322146226415115,1863,80,64,436,607,1520,51,26
George Cruikshank,Thackeray William Makepeace,15852,551,0.37466666666666665,0.2187214156079854,1271,37,37,349,222,799,37,21
Travelling Sketches,Trollope Anthony,18948,696,0.32466666666666666,0.12212399425287367,1249,50,33,250,410,1150,29,13
Henry Esmond; The English Humourists; The Four Georges,Thackeray William Makepeace,330021,12463,0.35133333333333333,0.17713243199871534,20845,892,1010,19416,4292,15066,523,330
Samuel Richardsons Introduction to Pamela,Richardson Samuel,13178,549,0.368,0.19700710382513656,927,38,43,248,178,613,22,22
An Old Mans Love,Trollope Anthony,77091,5065,0.28933333333333333,0.10571869693978286,3425,167,128,4777,2285,4937,108,36
A Ride Across Palestine,Trollope Anthony,18582,790,0.312,0.02525873417721519,971,37,23,1107,422,1094,16,9
The Dukes Children,Trollope Anthony,225629,15726,0.3426666666666667,0.10339118657001083,11110,602,388,14527,6888,15390,312,120
The Book of Snobs,Thackeray William Makepeace,62091,2655,0.39966666666666667,0.1157140112994352,4349,105,187,2093,817,2588,87,90
Lady Anna,Trollope Anthony,141846,8354,0.30666666666666664,0.10626308355278825,7051,335,227,8965,4824,8469,180,64
Amelia — Complete,Fielding Henry,213351,5995,0.31466666666666665,0.16089491242702256,12706,660,849,12759,4365,13894,352,311
The Paris Sketch Book of Mr. M. A. Titmarsh; and the Irish Sketch Book,Thackeray William Makepeace,250040,8960,0.4266666666666667,0.14860360491071398,18172,613,633,11095,3273,11516,461,219
The Fatal Boots,Thackeray William Makepeace,18513,993,0.31466666666666665,0.09326122860020145,1113,41,41,1339,250,1010,17,11
An Apology for the Life of Mrs. Shamela Andrews,Fielding Henry,14871,501,0.324,0.21005648702594806,773,34,36,609,381,863,20,15
Harry Heathcote of Gangoil: A Tale of Australian Bush-Life,Trollope Anthony,43069,2609,0.309,0.018044078190877732,2172,86,63,3105,881,2687,37,4
The Three Clerks,Trollope Anthony,211482,10801,0.37666666666666665,0.12388051106378964,12327,542,483,14473,4826,14246,342,124
Dr. Wortles School,Trollope Anthony,79990,5026,0.325,0.06148479904496626,3911,214,131,5067,2315,5285,131,29
The American Senator,Trollope Anthony,209635,13205,0.351,0.07493706171904528,10233,498,301,14651,5503,13559,261,76
The Claverings,Trollope Anthony,209217,13118,0.3253333333333333,0.08896670224119492,9851,558,289,14012,6171,14577,306,73
The Wanderer; or Female Difficulties (Volume 1 of 5),Burney Fanny,69589,2980,0.39066666666666666,0.09958751677852337,4234,138,151,4139,1395,4699,117,78
The O\Conors of Castle Conor County Mayo\r\nFrom Tales from All Countries,Trollope Anthony,10562,501,0.31,0.08191936127744508,582,19,26,631,172,601,10,4
Ballads,Thackeray William Makepeace,38367,2031,0.389,0.13602673559822748,2390,88,108,1797,333,1419,39,15
John Leechs Pictures of Life and Character,Thackeray William Makepeace,4891,200,0.41533333333333333,0.23994300000000002,450,7,9,171,52,174,2,4
The History of Sir Charles Grandison Volume 4 (of 7),Richardson Samuel,112869,5856,0.31166666666666665,0.1979730532786889,6102,290,226,5341,2936,6290,153,66
A History of Pendennis Volume 1\nHis fortunes and misfortunes his friends and his greatest enemy,Thackeray William Makepeace,179359,7474,0.3983333333333333,0.19882398983141464,12077,347,450,12416,2250,8518,211,182
Framley Parsonage,Trollope Anthony,209560,11354,0.3413333333333333,0.11702789325347839,11363,507,424,12848,5387,14977,328,68
The Chateau of Prince Polignac,Trollope Anthony,11571,484,0.3313333333333333,0.1993954545454545,690,37,22,678,229,714,15,6
The Paris Sketch Book of Mr. M. A. Titmarsh,Thackeray William Makepeace,116541,3756,0.41333333333333333,0.13130689563365286,8484,280,285,5522,1548,5233,220,92
Burlesques,Thackeray William Makepeace,153076,6267,0.44,0.11337020903143426,9417,261,311,9709,1695,6263,178,123
The Christmas Books of Mr. M.A. Titmarsh,Thackeray William Makepeace,79297,4153,0.37,0.12882453647965367,5034,147,207,4080,987,3667,70,89
Clarissa Harlowe; or the history of a young lady — Volume 7,Richardson Samuel,109136,4675,0.33166666666666667,0.12285974331550822,6385,373,327,3802,3129,6291,186,105
The Second Funeral of Napoleon,Thackeray William Makepeace,17172,629,0.38133333333333336,0.17175389507154198,1266,25,54,871,194,701,18,18
Hunting Sketches,Trollope Anthony,18962,752,0.30466666666666664,0.095836835106383,1153,57,32,230,477,1149,39,14
The Life of Cicero Volume II.,Trollope Anthony,125291,6665,0.3303333333333333,0.05311093773443367,6270,256,202,6081,2415,6078,175,76
An Unprotected Female at the Pyramids,Trollope Anthony,13958,597,0.32566666666666666,0.10304338358458964,855,18,23,689,267,891,23,8
Clarissa: Preface Hints of Prefaces and Postscript,Richardson Samuel,18370,744,0.35833333333333334,0.16230255376344072,1198,51,45,476,321,979,37,32
Castle Richmond,Trollope Anthony,206467,11292,0.38233333333333336,0.08502220155862523,11049,541,350,13617,5068,15016,328,74
Cecilia; Or Memoirs of an Heiress — Volume 3,Burney Fanny,112135,2980,0.325,0.010965335570469813,6416,312,240,7003,2456,7908,280,112
Clarissa Harlowe; or the history of a young lady — Volume 3,Richardson Samuel,106653,4691,0.3333333333333333,0.14330526540183305,5792,314,332,3694,3290,6529,225,78
The Mahogany Tree,Thackeray William Makepeace,3433,140,0.30866666666666664,0.18693071428571428,217,3,7,35,54,88,1,1
La Mere Bauche\r\nFrom Tales of All Countries,Trollope Anthony,15779,723,0.324,0.1077769017980636,943,30,18,990,369,1024,27,7
